config,cost_weight,service_weight,cost_mean,cost_std,fill_rate_mean,fill_rate_std,bullwhip_mean,bullwhip_std,n_seeds
cost_focused,1.0,0.0,120458.21111111112,6572.3530729718395,0.8069124762447366,0.0034586304226585387,1.00860816835645,0.0014812521234775849,3
cost_leaning,0.7,0.3,114662.34444444445,1775.6408371258858,0.8082996356094972,0.0071275656125861205,0.9976127135509443,0.010143038184529872,3
balanced,0.5,0.5,123855.37777777779,2425.8262458514528,0.7966243967842511,0.006055401943299251,1.0046374968610718,0.00731993612252764,3
service_leaning,0.3,0.7,123996.73333333334,4888.38466185122,0.8006715264873017,0.005226896015564692,1.002669496171608,0.0007747225427409342,3
service_focused,0.0,1.0,118383.5,3325.10323225989,0.8118311825621035,0.0010249340853109253,0.9994642548535837,0.004571914834334317,3
