config,cost_weight,service_weight,cost_mean,cost_std,fill_rate_mean,fill_rate_std,bullwhip_mean,bullwhip_std,n_seeds
cost_focused,1.0,0.0,240607.70000000004,6709.476032917645,0.8210733658842563,0.005479992948730998,1.151471108736218,0.01397913924519299,3
cost_leaning,0.7,0.3,233469.83333333334,3073.8791225420623,0.8265400070868568,0.0028429858193785604,1.1515174985046297,0.005916557044264011,3
balanced,0.5,0.5,235464.22222222225,9377.16898857257,0.8246676282874984,0.0038861807685425694,1.147811065196694,0.008744999733757641,3
service_leaning,0.3,0.7,228943.45555555556,2108.3577169136142,0.8271430345247266,0.0003078247867763325,1.1449781424502687,0.004094673889378909,3
service_focused,0.0,1.0,231155.38888888888,3304.8693258565713,0.830977481123658,0.002400550901600101,1.1413449906100952,0.0002028392315252296,3
